group,date,weighted_price,customers,price_cw,idx
Non PJM,2025-04-01,1542943180.9301326,80049234.0,19.27492748937651,99.1019224131833
Non PJM,2025-05-01,1554734194.1824322,79936564.0,19.449599987590563,100.0
Non PJM,2025-06-01,1545012637.2854888,79934060.0,19.32858955601015,99.37782560228683
Non PJM,2025-07-01,1522027539.3692703,80227310.0,18.971439268863314,97.54153957391242
Non PJM,2025-08-01,1552346380.787262,79971353.0,19.411280696817297,99.80298159963333
Non PJM,2025-09-01,1556070998.2452,80005234.0,19.449614987004473,100.00007711939536
Non PJM,2025-10-01,1545333733.730533,80187455.0,19.271514898814694,99.08437659957278
Non PJM,2025-11-01,1518619448.5396852,79744425.0,19.04358139819411,97.91245789293608
Non PJM,2025-12-01,1652305564.465952,80547988.0,20.51330648340902,105.46904047639609
Non PJM,2026-01-01,1515416044.963284,80389995.0,18.850804070373236,96.92129443485018
Non PJM,2026-02-01,1571261955.7374623,80282417.0,19.571682249395433,100.62768520629093
Non PJM,2026-03-01,1581812123.9249952,80655101.0,19.61205310405594,100.83525170990161
"PJM, high DC (10 plus DCs)",2023-01-01,113784706.42952996,7341098.0,15.499684983027057,82.63970786924132
"PJM, high DC (10 plus DCs)",2023-02-01,119051984.58439389,7324036.0,16.254969880595056,86.66666218227533
"PJM, high DC (10 plus DCs)",2023-03-01,122536940.42296329,7323687.0,16.731591672741242,89.2078677429178
"PJM, high DC (10 plus DCs)",2023-04-01,123815606.03845313,7322249.0,16.909504994770476,90.15644863179666
"PJM, high DC (10 plus DCs)",2023-05-01,125831709.23422198,7291702.0,17.25683650185128,92.00831686720741
"PJM, high DC (10 plus DCs)",2023-06-01,113045375.70686302,7289985.0,15.506942155143394,82.67840095134639
"PJM, high DC (10 plus DCs)",2023-07-01,109687081.81635104,7298188.0,15.02935822102021,80.13206553600074
"PJM, high DC (10 plus DCs)",2023-08-01,107563761.16698594,7337707.0,14.659042827273689,78.15765405652826
"PJM, high DC (10 plus DCs)",2023-09-01,111936630.68279058,7288856.0,15.357228992147817,81.88017491851521
"PJM, high DC (10 plus DCs)",2023-10-01,110117453.37158704,7298432.0,15.087823435442989,80.44378466098306
"PJM, high DC (10 plus DCs)",2023-11-01,110842719.3122146,7296997.0,15.190182935831631,80.98953505649251
"PJM, high DC (10 plus DCs)",2023-12-01,106959160.34187168,7285536.0,14.681028319930295,78.2748741608396
"PJM, high DC (10 plus DCs)",2024-01-01,109568433.4564559,7303205.0,15.002787605777998,79.99039892252266
"PJM, high DC (10 plus DCs)",2024-02-01,111569836.99854529,7241181.0,15.407685155024476,82.14919216402026
"PJM, high DC (10 plus DCs)",2024-03-01,115597809.25908075,7257510.0,15.928026176895486,84.9234956474066
"PJM, high DC (10 plus DCs)",2024-04-01,119324646.60403703,7299843.0,16.346193555674695,87.15303967108204
"PJM, high DC (10 plus DCs)",2024-05-01,125474810.69341072,7248316.0,17.310891342680247,92.29652119264475
"PJM, high DC (10 plus DCs)",2024-06-01,121517243.89241014,7255173.0,16.749048422747485,89.30094193909935
"PJM, high DC (10 plus DCs)",2024-07-01,117844250.74533589,7261609.0,16.22839383741756,86.52496662866157
"PJM, high DC (10 plus DCs)",2024-08-01,119158141.63808078,7267626.0,16.395744860574936,87.41723248312822
"PJM, high DC (10 plus DCs)",2024-09-01,120211875.98428153,7271539.0,16.53183404287339,88.14281950516275
"PJM, high DC (10 plus DCs)",2024-10-01,119210345.56646591,7289202.0,16.354375357750534,87.19666260497598
"PJM, high DC (10 plus DCs)",2024-11-01,121001602.44095422,7271339.0,16.640896874833402,88.72431006980565
