opening_year_method,n_facilities
baxtel:/data-center/credit-suisse-clifton,1
baxtel:/data-center/crane-portland-or,1
baxtel:/data-center/cosentry-sioux-falls-west,1
baxtel:/data-center/corespace-dallas,1
baxtel:/data-center/coresite-sv9,1
baxtel:/data-center/coresite-sv8,1
baxtel:/data-center/coresite-sv7,1
baxtel:/data-center/coresite-sv6,1
baxtel:/data-center/coresite-sv4,1
baxtel:/data-center/cologix-jacksonville-jax1,1
baxtel:/data-center/coresite-somerville-bo1,1
baxtel:/data-center/coresite-secaucus-ny2,1
baxtel:/data-center/coresite-reston-va3,1
baxtel:/data-center/coresite-ny3,1
baxtel:/data-center/coresite-milpitas-sv2,1
baxtel:/data-center/coresite-dc1-1275-k-street-nw,1
baxtel:/data-center/coresite-atlanta-at2,1
baxtel:/data-center/cologix-santa-clara,1
baxtel:/data-center/apple-maiden-north-carolina,1
baxtel:/data-center/amazon-iad76,1
baxtel:/data-center/flexential-atlanta-norcross,1
baxtel:/data-center/amazon-iad71,1
baxtel:/data-center/amazon-2570-beech-road,1
baxtel:/data-center/aligned-plano,1
baxtel:/data-center/aligned-ord-02,1
baxtel:/data-center/aligned-iad03,1
baxtel:/data-center/aligned-iad02,1
baxtel:/data-center/aligned-hillsboro-pdx-01,1
baxtel:/data-center/aligned-chicago-ord-01,1
baxtel:/data-center/aligned-ashburn,1
baxtel:/data-center/ainet-one-market-center,1
baxtel:/data-center/ainet-cybernap-glen-burnie,1
baxtel:/data-center/8100-boone-digital-realty,1
baxtel:/data-center/44521-hastings-acc5-digital-realty,1
baxtel:/data-center/44520-hastings-acc3-digital-realty,1
baxtel:/data-center/44480-hastings-acc4-digital-realty,1
baxtel:/data-center/44461-chilum-acc6-digital-realty,1
baxtel:/data-center/365-main-sfr2-digital-realty,1
baxtel:/data-center/32-ave-of-americas-digital-realty,1
baxtel:/data-center/2299-busse-ch2-digital-realty,1
baxtel:/data-center/21745-sir-timothy-acc9-digital-realty,1
baxtel:/data-center/amazon-bethlehem-technology-park-dc18,1
baxtel:/data-center/amazon-iad10,1
baxtel:/data-center/amazon-iad11,1
baxtel:/data-center/amazon-iad152,1
baxtel:/data-center/amazon-iad7,1
baxtel:/data-center/amazon-iad65,1
baxtel:/data-center/amazon-iad60,1
baxtel:/data-center/amazon-iad50,1
baxtel:/data-center/amazon-iad32,1
baxtel:/data-center/amazon-iad24,1
baxtel:/data-center/amazon-iad22,1
baxtel:/data-center/amazon-iad16,1
baxtel:/data-center/amazon-iad151,1
baxtel:/data-center/amazon-iad114,1
baxtel:/data-center/amazon-iad150,1
baxtel:/data-center/amazon-iad15,1
baxtel:/data-center/amazon-iad140,1
baxtel:/data-center/amazon-iad14,1
baxtel:/data-center/amazon-iad125,1
baxtel:/data-center/amazon-iad124,1
baxtel:/data-center/amazon-iad12,1
baxtel:/data-center/amazon-iad115,1
baxtel:/data-center/cyrusone-allen-dfw3,1
baxtel:/data-center/cyrusone-cincinnati-7th-street,1
baxtel:/data-center/cyrusone-cincinnati-hamilton,1
baxtel:/data-center/cyrusone-cincinnati-mason,1
baxtel:/data-center/equinix-new-york-secaucus-ny4,1
baxtel:/data-center/equinix-new-york-secaucus-ny2,1
baxtel:/data-center/equinix-new-york-north-bergen-ny7,1
baxtel:/data-center/equinix-manassas-dc14,1
baxtel:/data-center/equinix-dc21,1
baxtel:/data-center/equinix-dc16,1
baxtel:/data-center/equinix-dc15,1
baxtel:/data-center/equinix-dc13,1
baxtel:/data-center/equinix-culpeper-campus,1
baxtel:/data-center/equinix-chicago-ch7,1
baxtel:/data-center/equinix-chicago-ch3,1
baxtel:/data-center/equinix-chicago-ch1-ch2-ch4,1
baxtel:/data-center/equinix-ashburn-dc5,1
baxtel:/data-center/equinix-ashburn-dc4-f292a6c2-9340-43c9-821a-abfe935da89e,1
baxtel:/data-center/equinix-ashburn-dc3,1
baxtel:/data-center/equinix-ashburn-dc2,1
baxtel:/data-center/equinix-ashburn-dc12,1
baxtel:/data-center/equinix-ashburn-dc11,1
baxtel:/data-center/equinix-ashburn-campus,1
baxtel:/data-center/equinix-new-york-secaucus-ny5,1
baxtel:/data-center/equinix-palo-alto-sv8,1
baxtel:/data-center/equinix-san-jose-sv3,1
baxtel:/data-center/equinix-sv5,1
baxtel:/data-center/firstlight-portsmouth,1
baxtel:/data-center/firstlight-portland-me,1
baxtel:/data-center/expedient-pittsburgh-green-tree,1
baxtel:/data-center/expedient-baltimore-owings-mills,1
baxtel:/data-center/evocative-virginia-iad1,1
baxtel:/data-center/evocative-secaucus-ewr1,1
baxtel:/data-center/evocative-santa-clara-sjc11,1
baxtel:/data-center/21625-gresham-acc7-digital-realty,1
