state,utility_number,utility_name,ownership,residential_customers,residential_price_cents_kwh,avg_monthly_bill_dollars,cum_dc_count,cum_dc_per_100k_customers,n_service_area_features,service_area_states_sampled,dc_group
GA,13547,"Newnan Wtr, Sewer & Light Comm",Municipal,9209.0,13.200088073982144,119.34882542440367,0,0.0,1,GA,low_dc
GA,4538,Crisp County Power Comm,Political Subdivision,9206.0,14.541489814700347,191.65670939242523,0,0.0,1,GA,low_dc
GA,3939,City of College Park - (GA),Municipal,7924.0,12.841982658211467,104.35596500084132,0,0.0,1,GA,low_dc
GA,3108,City of Cartersville - (GA),Municipal,6711.0,14.560743578240215,157.1772711468733,0,0.0,1,GA,low_dc
IA,11053,Linn County REC,Cooperative,30323.0,14.229476405946993,120.99176642592532,1,3.297826732183491,1,IA,high_dc
IA,554,City of Ames - (IA),Municipal,24979.0,12.095769507466091,68.99295408142841,0,0.0,1,IA,low_dc
IA,3203,Cedar Falls Utilities,Municipal,17772.0,10.419878961333215,81.94397554205116,0,0.0,1,IA,low_dc
IA,12450,Midland Power Coop,Cooperative,11939.0,13.601369115531526,191.38258368930954,0,0.0,1,IA,low_dc
IA,9425,Iowa Lakes Electric Coop,Cooperative,9714.0,13.780229180403827,199.00401482396543,0,0.0,1,IA,low_dc
IA,5588,East-Central Iowa Rural Elec Coop,Cooperative,7368.0,13.281925929659215,178.8364096996019,0,0.0,1,IA,low_dc
IA,11788,Consumers Energy Coop - (IA),Cooperative,6922.0,15.003720809364628,152.918231724935,0,0.0,1,IA,low_dc
IL,17828,City of Springfield - (IL),Municipal,59621.0,11.953274884829497,99.18876458518531,0,0.0,1,IL,low_dc
IL,13208,City of Naperville - (IL),Municipal,56117.0,12.977611329244471,98.85165517282347,0,0.0,1,IL,low_dc
IL,4362,Corn Belt Energy Corporation,Cooperative,34710.0,15.757656122403429,144.0778353980601,0,0.0,1,IL,low_dc
IL,18955,"Tri-County Electric Coop, Inc (IL)",Cooperative,16197.0,16.042539113173543,189.60609989504232,0,0.0,1,IL,low_dc
IL,17860,City of St Charles - (IL),Municipal,14181.0,15.365398824812639,102.64908445572713,0,0.0,1,IL,low_dc
IL,1325,City of Batavia - (IL),Municipal,10020.0,14.081611676431288,102.54491017964072,0,0.0,1,IL,low_dc
IL,17040,"Shelby Electric Coop, Inc - (IL)",Cooperative,9871.0,18.626273178375556,192.67213723702426,0,0.0,1,IL,low_dc
IL,12395,Menard Electric Coop,Cooperative,9048.0,18.05182682075313,178.1075007368111,0,0.0,1,IL,low_dc
IL,7096,City of Geneva- (IL),Municipal,8691.0,11.031657355679702,85.20308364975261,0,0.0,1,IL,low_dc
IL,3931,Coles-Moultrie Electric Coop,Cooperative,8456.0,17.142731355111387,191.86573636076946,0,0.0,1,IL,low_dc
IL,16179,Rochelle Municipal Utilities,Municipal,5854.0,13.21718233703815,87.6893292335725,0,0.0,1,IL,low_dc
MD,1167,Baltimore Gas & Electric Co,Investor Owned,1025745.0,17.907412528010106,155.5781732626855,5,0.4874505846969764,1,MD,high_dc
MD,5625,Easton Utilities Comm,Municipal,8590.0,13.057297539066505,135.94004656577417,0,0.0,1,MD,low_dc
ME,1179,Versant Power,Investor Owned,130632.0,28.082110073193416,141.76056913058565,0,0.0,1,ME,low_dc
ME,5609,Eastern Maine Electric Coop,Cooperative,10803.0,17.057020702759857,85.86272331759697,0,0.0,1,ME,low_dc
MN,16181,Rochester Public Utilities,Municipal,54943.0,17.90808523999123,100.34884638018796,1,1.8200680705458385,1,MN,high_dc
MN,3400,City of Chaska - (MN),Municipal,10954.0,16.284259662077154,105.36181607936219,1,9.129085265656382,1,MN,high_dc
MN,20996,Wright-Hennepin Coop Elec Assn,Cooperative,53714.0,14.590103812573414,130.84686177408744,0,0.0,1,MN,low_dc
MN,4577,Crow Wing Cooperative Power & Light Comp,Cooperative,44698.0,13.330397674220226,107.79788804868228,0,0.0,1,MN,low_dc
MN,12651,Minnesota Valley Electric Coop,Cooperative,43412.0,13.977838998500994,132.45761540587856,0,0.0,1,MN,low_dc
MN,18019,Stearns Cooperative Elec Assn,Cooperative,26138.0,13.875201644411835,167.0039788813222,0,0.0,1,MN,low_dc
MN,1529,"Beltrami Electric Coop, Inc",Cooperative,20732.0,14.396455051225379,159.45157244838896,0,0.0,1,MN,low_dc
MN,16971,Shakopee Public Utilities Comm,Municipal,18517.0,15.54271635533207,97.09546182786988,0,0.0,1,MN,low_dc
MN,12546,Mille Lacs Energy Cooperative,Cooperative,14546.0,17.579982786179762,122.86711123332874,0,0.0,1,MN,low_dc
MN,16368,Runestone Electric Assn,Cooperative,14282.0,14.359230265414965,161.18190729589693,0,0.0,1,MN,low_dc
MN,20639,"Wild Rice Electric Coop, Inc",Cooperative,13948.0,14.3455502724323,167.99899627186693,0,0.0,1,MN,low_dc
MN,5773,City of Elk River,Municipal,11776.0,15.825672520851294,115.60943161231883,0,0.0,1,MN,low_dc
MN,691,City of Anoka,Municipal,11646.0,15.876973140360315,86.5819451599977,0,0.0,1,MN,low_dc
MN,14246,City of Owatonna - (MN),Municipal,11434.0,15.272410168747617,96.36974520436127,0,0.0,1,MN,low_dc
